"Nombre De La Escuela",Turno,Delegación,Colonia,Sostenimiento,Modalidad,"Total De Alumnos","Alumnos Evaluados","Comunicación: Insuficiente","Comunicación: Elemental","Comunicación: Bueno","Comunicación: Excelente","Matemáticas: Insuficiente","Matemáticas: Elemental","Matemáticas: Bueno","Matemáticas: Excelente"
IZTACALCO,VESPERTINO,IZTACALCO,"UNIDAD HABITACIONAL INFONAVIT",PUBLICO,"BACHILLERATO GENERAL",492,355," 17.0"," 43.4"," 39.4","  0.3"," 23.9"," 58.0"," 15.6","  2.6"
CUAJIMALPA,MATUTINO,"CUAJIMALPA DE MORELOS","EL MOLINITO",PUBLICO,"BACHILLERATO GENERAL",341,307," 11.6"," 39.8"," 47.6","  1.0"," 28.5"," 51.5"," 17.0","  3.0"
CUAJIMALPA,VESPERTINO,"CUAJIMALPA DE MORELOS","EL MOLINITO",PUBLICO,"BACHILLERATO GENERAL",215,145," 27.2"," 47.8"," 24.3","  0.7"," 33.1"," 53.1","  9.7","  4.1"
ARAGON,MATUTINO,"GUSTAVO A. MADERO","UNIDAD SAN JUAN DE ARAGON 6A SECCIO",PUBLICO,"BACHILLERATO GENERAL",639,488," 11.9"," 42.1"," 45.0","  1.0"," 29.1"," 55.5"," 12.4","  3.1"
ARAGON,VESPERTINO,"GUSTAVO A. MADERO","UNIDAD SAN JUAN DE ARAGON 6A SECCIO",PUBLICO,"BACHILLERATO GENERAL",302,143," 23.4"," 47.9"," 28.7","  0.0"," 46.0"," 49.6","  2.9","  1.5"
"NUEVA ATZACOALCO",MATUTINO,"GUSTAVO A. MADERO","GABRIEL HERNANDEZ",PUBLICO,"BACHILLERATO GENERAL",339,291," 15.8"," 38.8"," 42.1","  3.3"," 42.7"," 43.4"," 11.7","  2.1"
"NUEVA ATZACOALCO",VESPERTINO,"GUSTAVO A. MADERO","GABRIEL HERNANDEZ",PUBLICO,"BACHILLERATO GENERAL",240,168," 19.0"," 51.0"," 29.4","  0.7"," 45.1"," 46.3","  7.4","  1.2"
"XOCHIMILCO TEPEPAN QUIRINO MENDOZA CARDENAS",VESPERTINO,XOCHIMILCO,"TEPEPAN AMPLIACION",PUBLICO,"BACHILLERATO GENERAL",387,278," 12.3"," 37.9"," 44.2","  5.6"," 21.3"," 57.7"," 19.1","  1.8"
"MILPA ALTA FIDENCIO VILLANUEVA ROJAS",VESPERTINO,"MILPA ALTA","VILLA MILPA ALTA CENTRO",PUBLICO,"BACHILLERATO GENERAL",173,131," 10.8"," 50.8"," 36.9","  1.5"," 27.7"," 61.5","  9.2","  1.5"
"TLAHUAC MANUEL CHAVARRIA CHAVARRIA",VESPERTINO,TLAHUAC,"SAN FRANCISCO TLALTENCO",PUBLICO,"BACHILLERATO GENERAL",236,205," 22.6"," 39.2"," 36.7","  1.5"," 36.5"," 53.2","  9.4","  1.0"
"HUAYAMIPAS PEDREGAL",VESPERTINO,COYOACAN,"AJUSCO HUAYAMILPAS",PUBLICO,"BACHILLERATO GENERAL",206,95," 12.9"," 31.8"," 54.1","  1.2"," 30.9"," 48.9"," 17.0","  3.2"
"TLILHUACA AZCAPOTZALCO",MATUTINO,AZCAPOTZALCO,"SAN JUAN TLIHUACA",PUBLICO,"BACHILLERATO GENERAL",438,376,"  9.2"," 39.6"," 49.3","  1.9"," 35.7"," 49.6"," 12.5","  2.1"
"TLILHUACA AZCAPOTZALCO",VESPERTINO,AZCAPOTZALCO,"SAN JUAN TLIHUACA",PUBLICO,"BACHILLERATO GENERAL",193,169," 23.0"," 42.4"," 33.3","  1.2"," 52.1"," 40.8","  5.9","  1.2"
"DEL VALLE MATIAS ROMERO",MATUTINO,"BENITO JUAREZ","DEL VALLE",PUBLICO,"BACHILLERATO GENERAL",381,310,"  3.4"," 21.5"," 67.8","  7.4"," 14.2"," 41.4"," 34.8","  9.6"
"DEL VALLE MATIAS ROMERO",VESPERTINO,"BENITO JUAREZ","DEL VALLE",PUBLICO,"BACHILLERATO GENERAL",223,135,"  9.4"," 27.3"," 60.2","  3.1"," 19.7"," 50.8"," 22.0","  7.6"
"IGNACIO M. ALTAMIRANO",MATUTINO,"MIGUEL HIDALGO",ESCANDON,PRIVADO,"BACHILLERATO GENERAL",10,9," 11.1"," 22.2"," 66.7","  0.0"," 66.7"," 33.3","  0.0","  0.0"
"INSTITUTO CULTURAL FRANCES A.C.",MATUTINO,"MIGUEL HIDALGO",PERIODISTA,PRIVADO,"BACHILLERATO GENERAL",23,22,"  4.8"," 33.3"," 61.9","  0.0"," 40.9"," 36.4"," 18.2","  4.5"
"INSTITUTO COBRE DE MEXICO",MATUTINO,AZCAPOTZALCO,"OBRERO POPULAR",PRIVADO,"BACHILLERATO GENERAL",19,18,"  5.9"," 41.2"," 47.1","  5.9"," 33.3"," 33.3"," 27.8","  5.6"
"OSCAR GONZALEZ BLAKALLER",MATUTINO,"GUSTAVO A. MADERO","SAN BARTOLO ATEPEHUACAN",PRIVADO,"BACHILLERATO GENERAL",10,10," 10.0"," 10.0"," 70.0"," 10.0"," 30.0"," 40.0"," 20.0"," 10.0"
"INSTITUTO PEDAGOGICO IBEROAMERICANO",MATUTINO,IZTAPALAPA,"GRANJAS ESMERALDA",PRIVADO,"BACHILLERATO GENERAL",13,13,"  0.0"," 23.1"," 53.8"," 23.1","  7.7","  0.0"," 61.5"," 30.8"
"ANGEL DE CAMPO",MATUTINO,IZTAPALAPA,"SAN SEBASTIAN TECOLOXTITLAN",PRIVADO,"BACHILLERATO GENERAL",9,7,"  0.0","  0.0",100.0,"  0.0","  0.0"," 42.9"," 28.6"," 28.6"
"COLEGIO BOSQUES CONTADERO",MATUTINO,"CUAJIMALPA DE MORELOS",CUAJIMALPA,PRIVADO,"BACHILLERATO GENERAL",7,7," 28.6"," 42.9"," 14.3"," 14.3"," 57.1"," 28.6"," 14.3","  0.0"
"SOR JUANA INES DE LA CRUZ",MATUTINO,CUAUHTEMOC,CONDESA,PRIVADO,"BACHILLERATO GENERAL",7,5," 40.0"," 40.0"," 20.0","  0.0"," 20.0","  0.0"," 80.0","  0.0"
"CONALEP ARAGON",MATUTINO,"GUSTAVO A. MADERO","UNIDAD SAN JUAN DE ARAGON",PUBLICO,"TECNICO PROFESIONAL",263,233," 11.2"," 41.1"," 45.1","  2.7"," 31.7"," 43.2"," 16.7","  8.4"
